Time,south_north,west_east,hgt,lat,lon
1,1,60,1046.95446777344,-41.5310935974121,-68.289794921875
1,1,61,1049.53344726563,-41.5347900390625,-68.1718444824219
1,1,62,1072.24291992188,-41.5383987426758,-68.0538940429688
1,1,63,1062.20581054688,-41.5419044494629,-67.9359436035156
1,1,64,1047.39172363281,-41.5453262329102,-67.8179931640625
1,1,65,1088.10961914063,-41.5486602783203,-67.7000122070313
1,1,66,1162.78161621094,-41.551887512207,-67.58203125
1,1,67,1189.42065429688,-41.5550231933594,-67.4640502929688
1,1,68,1174.48974609375,-41.5580673217773,-67.3460388183594
1,1,69,1195.29919433594,-41.5610198974609,-67.22802734375
1,1,70,1247.61840820313,-41.5638847351074,-67.1100158691406
1,1,71,1281.951171875,-41.5666389465332,-66.9920043945313
1,1,72,1245.029296875,-41.5693130493164,-66.8739624023438
1,1,73,1120.50378417969,-41.5718803405762,-66.7559204101563
1,1,74,986.750122070313,-41.5743751525879,-66.6378784179688
1,1,75,864.301635742188,-41.5767631530762,-66.5198059082031
1,1,76,733.548217773438,-41.5790519714356,-66.4017639160156
1,1,77,636.630981445313,-41.5812606811523,-66.28369140625
1,1,78,551.071533203125,-41.583366394043,-66.1656188964844
1,1,79,454.883972167969,-41.5853805541992,-66.0475463867188
1,1,80,394.670776367188,-41.5872993469238,-65.929443359375
1,1,81,364.554138183594,-41.5891342163086,-65.8113708496094
1,1,82,336.485687255859,-41.5908622741699,-65.6932678222656
1,1,83,307.511108398438,-41.5924987792969,-65.5751647949219
1,1,84,275.373474121094,-41.5940475463867,-65.4570617675781
1,1,85,225.555328369141,-41.5955085754395,-65.3389587402344
1,1,86,145.650527954102,-41.5968551635742,-65.2208251953125
1,1,87,61.9517364501953,-41.5981216430664,-65.1027221679688
1,1,88,11.1296615600586,-41.5993003845215,-64.984619140625
1,1,89,0,-41.6003723144531,-64.8664855957031
1,1,90,0,-41.6013641357422,-64.7483520507813
1,1,91,0,-41.6022453308106,-64.6302490234375
1,1,92,0,-41.6030464172363,-64.5120849609375
1,1,93,0,-41.6037521362305,-64.3939819335938
1,1,94,0,-41.6043586730957,-64.2758178710938
1,1,95,0,-41.6048736572266,-64.15771484375
1,1,96,0,-41.6052932739258,-64.03955078125
1,1,97,0,-41.6056251525879,-63.9214172363281
1,1,98,0,-41.6058540344238,-63.8032836914063
1,1,99,0,-41.6059951782227,-63.6851501464844
1,1,100,0,-41.6060409545899,-63.5670166015625
1,1,101,0,-41.6059951782227,-63.4488525390625
1,1,102,0,-41.6058540344238,-63.3307189941406
1,1,103,0,-41.6056251525879,-63.2125854492188
1,1,104,0,-41.6052932739258,-63.0944519042969
1,1,105,0,-41.6048736572266,-62.976318359375
1,1,106,0,-41.6043586730957,-62.858154296875
1,1,107,0,-41.6037521362305,-62.7400512695313
1,1,108,0,-41.6030464172363,-62.6218872070313
1,1,109,0,-41.6022453308106,-62.5037841796875
1,1,110,0,-41.6013641357422,-62.3856506347656
1,1,111,0,-41.6003723144531,-62.2675170898438
1,1,112,0,-41.5993003845215,-62.1493835449219
1,1,113,0,-41.5981216430664,-62.0312805175781
1,1,114,0,-41.5968551635742,-61.9131469726563
1,1,115,0,-41.5955085754395,-61.7950439453125
1,1,116,0,-41.5940475463867,-61.6769409179688
1,1,117,0,-41.5924987792969,-61.558837890625
1,1,118,0,-41.5908622741699,-61.4407348632813
1,1,119,0,-41.5891342163086,-61.3226318359375
1,1,120,0,-41.5872993469238,-61.2045593261719
1,1,121,0,-41.5853805541992,-61.0864562988281
1,1,122,0,-41.583366394043,-60.9683837890625
1,1,123,0,-41.5812606811523,-60.8503112792969
1,1,124,0,-41.5790519714356,-60.7322387695313
1,1,125,0,-41.5767631530762,-60.6141967773438
1,1,126,0,-41.5743751525879,-60.4961242675781
1,1,127,0,-41.5718803405762,-60.3780822753906
1,1,128,0,-41.5693130493164,-60.2600402832031
1,1,129,0,-41.5666389465332,-60.1420288085938
1,1,130,0,-41.5638847351074,-60.0239868164063
1,1,131,0,-41.5610198974609,-59.9059753417969
1,1,132,0,-41.5580673217773,-59.7879638671875
1,1,133,0,-41.5550231933594,-59.6699829101563
1,1,134,0,-41.551887512207,-59.5519714355469
1,1,135,0,-41.5486602783203,-59.4339904785156
1,1,136,0,-41.5453262329102,-59.3160095214844
1,1,137,0,-41.5419044494629,-59.1980590820313
1,1,138,0,-41.5383987426758,-59.0801086425781
1,1,139,0,-41.5347900390625,-58.962158203125
1,1,140,0,-41.5310935974121,-58.84423828125
1,1,141,0,-41.5273056030274,-58.726318359375
1,1,142,0,-41.5234107971191,-58.6083984375
1,1,143,0,-41.5194320678711,-58.490478515625
1,1,144,0,-41.5153541564941,-58.3726196289063
1,1,145,0,-41.5111999511719,-58.2547302246094
1,1,146,0,-41.5069351196289,-58.1368713378906
1,1,147,0,-41.502571105957,-58.0190124511719
1,1,148,0,-41.4981307983398,-57.9011535644531
1,1,149,0,-41.4935874938965,-57.7833251953125
1,1,150,0,-41.4889526367188,-57.66552734375
1,1,151,0,-41.4842262268066,-57.5477294921875
1,1,152,0,-41.4794006347656,-57.429931640625
1,1,153,0,-41.474494934082,-57.3121643066406
1,1,154,0,-41.4694747924805,-57.1943969726563
1,1,155,0,-41.4643783569336,-57.07666015625
1,1,156,0,-41.4591903686523,-56.9589233398438
1,1,157,0,-41.4538917541504,-56.8411865234375
1,1,158,0,-41.4485130310059,-56.7235107421875
1,1,159,0,-41.4430351257324,-56.6058044433594
1,1,160,0,-41.4374732971191,-56.4881286621094
1,1,161,0,-41.4318084716797,-56.3704833984375
1,1,162,0,-41.4260520935059,-56.2528381347656
1,1,163,0,-41.4202041625977,-56.1352233886719
1,1,164,0,-41.4142646789551,-56.0176086425781
1,1,165,0,-41.4082298278809,-55.9000244140625
1,1,166,0,-41.4021034240723,-55.7824401855469
1,1,167,0,-41.3958778381348,-55.6648864746094
1,1,168,0,-41.3895645141602,-55.54736328125
